City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
94,Hurghada,EG,77.0,clear sky,27.26,33.81,Sea Star Beau Rivage Hotel
96,Noumea,NC,68.0,clear sky,-22.28,166.46,Hôtel Le Lagon
99,Saldanha,ZA,66.2,clear sky,-33.01,17.94,Blue Bay Lodge
100,Cozumel,MX,73.4,light rain,20.51,-86.95,Cozumel Palace® All Inclusive Resort
101,Nouadhibou,MR,69.8,clear sky,20.93,-17.03,El Medina
102,Brebes,ID,80.71,scattered clouds,-6.87,109.04,Grand Dian Brebes
103,U Thong,TH,74.98,scattered clouds,14.38,99.89,บ้านปิ่นสุข อู่ทอง ห้องพักรายเดือน
104,Castro,BR,76.3,light rain,-24.79,-50.01,CHACARA BAILLY
106,Avarua,CK,78.8,scattered clouds,-21.21,-159.78,Paradise Inn
107,Kawalu,ID,73.38,light rain,-7.38,108.21,KOSAN UNGU UNSIK
108,Cape Town,ZA,71.01,few clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
114,Bambanglipuro,ID,78.67,light rain,-7.95,110.28,Puri Brata
115,Sao Joao Da Barra,BR,78.8,clear sky,-21.64,-41.05,Pousada Porto De Canoas
117,Takoradi,GH,83.75,overcast clouds,4.88,-1.76,Raybow International Hotel
119,Avera,US,60.8,broken clouds,33.19,-82.53,
121,Mahebourg,MU,82.4,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
123,Vryheid,ZA,79.34,scattered clouds,-27.77,30.79,Bivane Game Lodge
124,Mangrol,IN,81.61,clear sky,21.12,70.12,Hotel The Royal Honours
127,Kieta,PG,79.48,overcast clouds,-6.22,155.63,
128,Kapaa,US,75.2,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
131,Marsh Harbour,BS,76.28,clear sky,26.54,-77.06,Abaco Beach Resort
132,Vaitape,PF,81.39,overcast clouds,-16.52,-151.75,Conrad Bora Bora Nui
133,Rio Tercero,AR,62.01,clear sky,-32.17,-64.11,Hospedaje Las Violetas
134,Carnarvon,AU,71.6,clear sky,-24.87,113.63,Hospitality Carnarvon
135,Mecca,SA,82.11,scattered clouds,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
136,Gat,IL,70.0,clear sky,31.61,34.76,OlusHome
137,Gigmoto,PH,79.54,overcast clouds,13.78,124.39,Cj's Travellers Inn
140,Victoria,HK,69.01,scattered clouds,22.29,114.16,Mini Hotel Central
141,Riberalta,BO,75.2,scattered clouds,-10.98,-66.1,Hotel Colonial
142,Hermanus,ZA,70.0,broken clouds,-34.42,19.23,Misty Waves Boutique Hotel
145,East London,ZA,78.8,clear sky,-33.02,27.91,Tu Casa
146,Sassandra,CI,82.54,light rain,4.95,-6.08,la terrasse
147,Ribeira Grande,PT,60.8,shower rain,38.52,-28.7,Quinta da Meia Eira
149,Virginia Beach,US,66.2,moderate rain,36.85,-75.98,Hilton Virginia Beach Oceanfront
150,Ambon,ID,78.8,few clouds,-3.7,128.18,Swiss-Belhotel Ambon
151,Koraput,IN,66.52,clear sky,18.82,82.72,Raj Residency
155,Arraial Do Cabo,BR,80.6,clear sky,-22.97,-42.03,Pousada Porto Praia
160,Pringsewu,ID,75.67,overcast clouds,-5.36,104.97,Urban Style by Front One
163,Jacareacanga,BR,77.9,light rain,-6.22,-57.75,Casa do Ian😎
165,Mapiri,BO,73.18,light rain,-15.25,-68.17,
172,Colares,PT,64.0,few clouds,38.8,-9.45,Arribas Sintra Hotel
173,Gamba,GA,82.29,light rain,-2.65,10.0,
178,Sao Jose Da Coroa Grande,BR,80.96,clear sky,-8.9,-35.15,Crôa Mares Hotel
179,Airai,TL,63.93,light rain,-8.93,125.41,Juvinal Martin
180,Atuona,PF,78.42,clear sky,-9.8,-139.03,Villa Enata
181,Haapiti,PF,77.0,light rain,-17.57,-149.87,Linareva Moorea Beach Resort
182,Warora,IN,77.52,clear sky,20.23,79.0,Hotel Centre Point
